crim;zn;indus;chas;nox;rm;age;dis;rad;tax;ptratio;b;lstat;medv
632;18;231;0;538;6575;652;409;1;296;153;3969;498;24
2731;0;707;0;469;6421;789;49671;2;242;178;3969;914;216
2729;0;707;0;469;7185;611;49671;2;242;178;39283;403;347
3237;0;218;0;458;6998;458;60622;3;222;187;39463;294;334
6905;0;218;0;458;7147;542;60622;3;222;187;3969;533;362
2985;0;218;0;458;643;587;60622;3;222;187;39412;521;287
8829;125;787;0;524;6012;666;55605;5;311;152;3956;1243;229
14455;125;787;0;524;6172;961;59505;5;311;152;3969;1915;271
21124;125;787;0;524;5631;100;60821;5;311;152;38663;2993;165
17004;125;787;0;524;6004;859;65921;5;311;152;38671;171;189
22489;125;787;0;524;6377;943;63467;5;311;152;39252;2045;15
11747;125;787;0;524;6009;829;62267;5;311;152;3969;1327;189
9378;125;787;0;524;5889;39;54509;5;311;152;3905;1571;217
62976;0;814;0;538;5949;618;47075;4;307;21;3969;826;204
63796;0;814;0;538;6096;845;44619;4;307;21;38002;1026;182
62739;0;814;0;538;5834;565;44986;4;307;21;39562;847;199
105393;0;814;0;538;5935;293;44986;4;307;21;38685;658;231
7842;0;814;0;538;599;817;42579;4;307;21;38675;1467;175
80271;0;814;0;538;5456;366;37965;4;307;21;28899;1169;202
7258;0;814;0;538;5727;695;37965;4;307;21;39095;1128;182
125179;0;814;0;538;557;981;37979;4;307;21;37657;2102;136
85204;0;814;0;538;5965;892;40123;4;307;21;39253;1383;196
123247;0;814;0;538;6142;917;39769;4;307;21;3969;1872;152
98843;0;814;0;538;5813;100;40952;4;307;21;39454;1988;145
75026;0;814;0;538;5924;941;43996;4;307;21;39433;163;156
84054;0;814;0;538;5599;857;44546;4;307;21;30342;1651;139
67191;0;814;0;538;5813;903;4682;4;307;21;37688;1481;166
95577;0;814;0;538;6047;888;44534;4;307;21;30638;1728;148
77299;0;814;0;538;6495;944;44547;4;307;21;38794;128;184
100245;0;814;0;538;6674;873;4239;4;307;21;38023;1198;21
113081;0;814;0;538;5713;941;4233;4;307;21;36017;226;127
135472;0;814;0;538;6072;100;4175;4;307;21;37673;1304;145
138799;0;814;0;538;595;82;399;4;307;21;2326;2771;132
115172;0;814;0;538;5701;95;37872;4;307;21;35877;1835;131
161282;0;814;0;538;6096;969;37598;4;307;21;24831;2034;135
6417;0;596;0;499;5933;682;33603;5;279;192;3969;968;189
9744;0;596;0;499;5841;614;33779;5;279;192;37756;1141;20
8014;0;596;0;499;585;415;39342;5;279;192;3969;877;21
17505;0;596;0;499;5966;302;38473;5;279;192;39343;1013;247
2763;75;295;0;428;6595;218;54011;3;252;183;39563;432;308
3359;75;295;0;428;7024;158;54011;3;252;183;39562;198;349
12744;0;691;0;448;677;29;57209;3;233;179;38541;484;266
1415;0;691;0;448;6169;66;57209;3;233;179;38337;581;253
15936;0;691;0;448;6211;65;57209;3;233;179;39446;744;247
12269;0;691;0;448;6069;40;57209;3;233;179;38939;955;212
17142;0;691;0;448;5682;338;51004;3;233;179;3969;1021;193
18836;0;691;0;448;5786;333;51004;3;233;179;3969;1415;20
22927;0;691;0;448;603;855;56894;3;233;179;39274;188;166
25387;0;691;0;448;5399;953;587;3;233;179;3969;3081;144
21977;0;691;0;448;5602;62;60877;3;233;179;3969;162;194
8873;21;564;0;439;5963;457;68147;4;243;168;39556;1345;197
4337;21;564;0;439;6115;63;68147;4;243;168;39397;943;205
536;21;564;0;439;6511;211;68147;4;243;168;3969;528;25
4981;21;564;0;439;5998;214;68147;4;243;168;3969;843;234
136;75;4;0;41;5888;476;73197;3;469;211;3969;148;189
1311;90;122;0;403;7249;219;86966;5;226;179;39593;481;354
2055;85;74;0;41;6383;357;91876;2;313;173;3969;577;247
1432;100;132;0;411;6816;405;83248;5;256;151;3929;395;316
15445;25;513;0;453;6145;292;78148;8;284;197;39068;686;233
10328;25;513;0;453;5927;472;6932;8;284;197;3969;922;196
14932;25;513;0;453;5741;662;72254;8;284;197;39511;1315;187
17171;25;513;0;453;5966;934;68185;8;284;197;37808;1444;16
11027;25;513;0;453;6456;678;72255;8;284;197;3969;673;222
1265;25;513;0;453;6762;434;79809;8;284;197;39558;95;25
1951;175;138;0;4161;7104;595;92229;3;216;186;39324;805;33
3584;80;337;0;398;629;178;66115;4;337;161;3969;467;235
4379;80;337;0;398;5787;311;66115;4;337;161;3969;1024;194
5789;125;607;0;409;5878;214;6498;4;345;189;39621;81;22
13554;125;607;0;409;5594;368;6498;4;345;189;3969;1309;174
12816;125;607;0;409;5885;33;6498;4;345;189;3969;879;209
8826;0;1081;0;413;6417;66;52873;4;305;192;38373;672;242
15876;0;1081;0;413;5961;175;52873;4;305;192;37694;988;217
9164;0;1081;0;413;6065;78;52873;4;305;192;39091;552;228
19539;0;1081;0;413;6245;62;52873;4;305;192;37717;754;234
7896;0;1283;0;437;6273;6;42515;5;398;187;39492;678;241
9512;0;1283;0;437;6286;45;45026;5;398;187;38323;894;214
10153;0;1283;0;437;6279;745;40522;5;398;187;37366;1197;20
8707;0;1283;0;437;614;458;40905;5;398;187;38696;1027;208
5646;0;1283;0;437;6232;537;50141;5;398;187;3864;1234;212
8387;0;1283;0;437;5874;366;45026;5;398;187;39606;91;203
4113;25;486;0;426;6727;335;54007;4;281;19;3969;529;28
4462;25;486;0;426;6619;704;54007;4;281;19;39563;722;239
3659;25;486;0;426;6302;322;54007;4;281;19;3969;672;248
3551;25;486;0;426;6167;467;54007;4;281;19;39064;751;229
5059;0;449;0;449;6389;48;47794;3;247;185;3969;962;239
5735;0;449;0;449;663;561;44377;3;247;185;3923;653;266
5188;0;449;0;449;6015;451;44272;3;247;185;39599;1286;225
7151;0;449;0;449;6121;568;37476;3;247;185;39515;844;222
566;0;341;0;489;7007;863;34217;2;270;178;3969;55;236
5302;0;341;0;489;7079;631;34145;2;270;178;39606;57;287
4684;0;341;0;489;6417;661;30923;2;270;178;39218;881;226
3932;0;341;0;489;6405;739;30921;2;270;178;39355;82;22
4203;28;1504;0;464;6442;536;36659;4;270;182;39501;816;229
2875;28;1504;0;464;6211;289;36659;4;270;182;39633;621;25
4294;28;1504;0;464;6249;773;3615;4;270;182;3969;1059;206
12204;0;289;0;445;6625;578;34952;2;276;18;35798;665;284
11504;0;289;0;445;6163;696;34952;2;276;18;39183;1134;214
12083;0;289;0;445;8069;76;34952;2;276;18;3969;421;387
8187;0;289;0;445;782;369;34952;2;276;18;39353;357;438
686;0;289;0;445;7416;625;34952;2;276;18;3969;619;332
14866;0;856;0;52;6727;799;27778;5;384;209;39476;942;275
11432;0;856;0;52;6781;713;28561;5;384;209;39558;767;265
22876;0;856;0;52;6405;854;27147;5;384;209;708;1063;186
21161;0;856;0;52;6137;874;27147;5;384;209;39447;1344;193
1396;0;856;0;52;6167;90;2421;5;384;209;39269;1233;201
13262;0;856;0;52;5851;967;21069;5;384;209;39405;1647;195
1712;0;856;0;52;5836;919;2211;5;384;209;39567;1866;195
13117;0;856;0;52;6127;852;21224;5;384;209;38769;1409;204
12802;0;856;0;52;6474;971;24329;5;384;209;39524;1227;198
26363;0;856;0;52;6229;912;25451;5;384;209;39123;1555;194
10793;0;856;0;52;6195;544;27778;5;384;209;39349;13;217
10084;0;1001;0;547;6715;816;26775;6;432;178;39559;1016;228
12329;0;1001;0;547;5913;929;23534;6;432;178;39495;1621;188
22212;0;1001;0;547;6092;954;2548;6;432;178;3969;1709;187
14231;0;1001;0;547;6254;842;22565;6;432;178;38874;1045;185
17134;0;1001;0;547;5928;882;24631;6;432;178;34491;1576;183
13158;0;1001;0;547;6176;725;27301;6;432;178;3933;1204;212
15098;0;1001;0;547;6021;826;27474;6;432;178;39451;103;192
13058;0;1001;0;547;5872;731;24775;6;432;178;33863;1537;204
14476;0;1001;0;547;5731;652;27592;6;432;178;3915;1361;193
6899;0;2565;0;581;587;697;22577;2;188;191;38915;1437;22
7165;0;2565;0;581;6004;841;21974;2;188;191;37767;1427;203
9299;0;2565;0;581;5961;929;20869;2;188;191;37809;1793;205
15038;0;2565;0;581;5856;97;19444;2;188;191;37031;2541;173
9849;0;2565;0;581;5879;958;20063;2;188;191;37938;1758;188
16902;0;2565;0;581;5986;884;19929;2;188;191;38502;1481;214
38735;0;2565;0;581;5613;956;17572;2;188;191;35929;2726;157
25915;0;2189;0;624;5693;96;17883;4;437;212;39211;1719;162
32543;0;2189;0;624;6431;988;18125;4;437;212;3969;1539;18
88125;0;2189;0;624;5637;947;19799;4;437;212;3969;1834;143
34006;0;2189;0;624;6458;989;21185;4;437;212;39504;126;192
119294;0;2189;0;624;6326;977;2271;4;437;212;3969;1226;196
59005;0;2189;0;624;6372;979;23274;4;437;212;38576;1112;23
32982;0;2189;0;624;5822;954;24699;4;437;212;38869;1503;184
97617;0;2189;0;624;5757;984;2346;4;437;212;26276;1731;156
55778;0;2189;0;624;6335;982;21107;4;437;212;39467;1696;181
32264;0;2189;0;624;5942;935;19669;4;437;212;37825;169;174
35233;0;2189;0;624;6454;984;18498;4;437;212;39408;1459;171
2498;0;2189;0;624;5857;982;16686;4;437;212;39204;2132;133
54452;0;2189;0;624;6151;979;16687;4;437;212;3969;1846;178
2909;0;2189;0;624;6174;936;16119;4;437;212;38808;2416;14
162864;0;2189;0;624;5019;100;14394;4;437;212;3969;3441;144
332105;0;1958;1;871;5403;100;13216;5;403;147;3969;2682;134
40974;0;1958;0;871;5468;100;14118;5;403;147;3969;2642;156
277974;0;1958;0;871;4903;978;13459;5;403;147;3969;2929;118
237934;0;1958;0;871;613;100;14191;5;403;147;17291;278;138
215505;0;1958;0;871;5628;100;15166;5;403;147;16927;1665;156
236862;0;1958;0;871;4926;957;14608;5;403;147;39171;2953;146
233099;0;1958;0;871;5186;938;15296;5;403;147;35699;2832;178
273397;0;1958;0;871;5597;949;15257;5;403;147;35185;2145;154
16566;0;1958;0;871;6122;973;1618;5;403;147;3728;141;215
149632;0;1958;0;871;5404;100;15916;5;403;147;3416;1328;196
112658;0;1958;1;871;5012;88;16102;5;403;147;34328;1212;153
214918;0;1958;0;871;5709;985;16232;5;403;147;26195;1579;194
141385;0;1958;1;871;6129;96;17494;5;403;147;32102;1512;17
353501;0;1958;1;871;6152;826;17455;5;403;147;8801;1502;156
244668;0;1958;0;871;5272;94;17364;5;403;147;8863;1614;131
122358;0;1958;0;605;6943;974;18773;5;403;147;36343;459;413
134284;0;1958;0;605;6066;100;17573;5;403;147;35389;643;243
142502;0;1958;0;871;651;100;17659;5;403;147;36431;739;233
127346;0;1958;1;605;625;926;17984;5;403;147;33892;55;27
146336;0;1958;0;605;7489;908;19709;5;403;147;37443;173;50
183377;0;1958;1;605;7802;982;20407;5;403;147;38961;192;50
151902;0;1958;1;605;8375;939;2162;5;403;147;38845;332;50
224236;0;1958;0;605;5854;918;2422;5;403;147;39511;1164;227
2924;0;1958;0;605;6101;93;22834;5;403;147;24016;981;25
201019;0;1958;0;605;7929;962;20459;5;403;147;3693;37;50
180028;0;1958;0;605;5877;792;24259;5;403;147;22761;1214;238
23004;0;1958;0;605;6319;961;21;5;403;147;29709;111;238
244953;0;1958;0;605;6402;952;22625;5;403;147;33004;1132;223
120742;0;1958;0;605;5875;946;24259;5;403;147;29229;1443;174
23139;0;1958;0;605;588;973;23887;5;403;147;34813;1203;191
13914;0;405;0;51;5572;885;25961;5;296;166;3969;1469;231
9178;0;405;0;51;6416;841;26463;5;296;166;3955;904;236
8447;0;405;0;51;5859;687;27019;5;296;166;39323;964;226
6664;0;405;0;51;6546;331;31323;5;296;166;39096;533;294
7022;0;405;0;51;602;472;35549;5;296;166;39323;1011;232
5425;0;405;0;51;6315;734;33175;5;296;166;3956;629;246
6642;0;405;0;51;686;744;29153;5;296;166;39127;692;299
578;0;246;0;488;698;584;2829;3;193;178;3969;504;372
6588;0;246;0;488;7765;833;2741;3;193;178;39556;756;398
6888;0;246;0;488;6144;622;25979;3;193;178;3969;945;362
9103;0;246;0;488;7155;922;27006;3;193;178;39412;482;379
10008;0;246;0;488;6563;956;2847;3;193;178;3969;568;325
8308;0;246;0;488;5604;898;29879;3;193;178;391;1398;264
6047;0;246;0;488;6153;688;32797;3;193;178;38711;1315;296
5602;0;246;0;488;7831;536;31992;3;193;178;39263;445;50
7875;45;344;0;437;6782;411;37886;5;398;152;39387;668;32
12579;45;344;0;437;6556;291;45667;5;398;152;38284;456;298
837;45;344;0;437;7185;389;45667;5;398;152;3969;539;349
9068;45;344;0;437;6951;215;64798;5;398;152;37768;51;37
6911;45;344;0;437;6739;308;64798;5;398;152;38971;469;305
8664;45;344;0;437;7178;263;64798;5;398;152;39049;287;364
2187;60;293;0;401;68;99;62196;1;265;156;39337;503;311
1439;60;293;0;401;6604;188;62196;1;265;156;3767;438;291
1381;80;46;0;422;7875;32;56484;4;255;144;39423;297;50
4011;80;152;0;404;7287;341;7309;2;329;126;3969;408;333
4666;80;152;0;404;7107;366;7309;2;329;126;35431;861;303
3768;80;152;0;404;7274;383;7309;2;329;126;3922;662;346
315;95;147;0;403;6975;153;76534;3;402;17;3969;456;349
1778;95;147;0;403;7135;139;76534;3;402;17;3843;445;329
3445;825;203;0;415;6162;384;627;2;348;147;39377;743;241
2177;825;203;0;415;761;157;627;2;348;147;39538;311;423
351;95;268;0;4161;7853;332;5118;4;224;147;39278;381;485
2009;95;268;0;4161;8034;319;5118;4;224;147;39055;288;50
13642;0;1059;0;489;5891;223;39454;4;277;186;3969;1087;226
22969;0;1059;0;489;6326;525;43549;4;277;186;39487;1097;244
25199;0;1059;0;489;5783;727;43549;4;277;186;38943;1806;225
13587;0;1059;1;489;6064;591;42392;4;277;186;38132;1466;244
43571;0;1059;1;489;5344;100;3875;4;277;186;3969;2309;20
17446;0;1059;1;489;596;921;38771;4;277;186;39325;1727;217
37578;0;1059;1;489;5404;886;3665;4;277;186;39524;2398;193
21719;0;1059;1;489;5807;538;36526;4;277;186;39094;1603;224
14052;0;1059;0;489;6375;323;39454;4;277;186;38581;938;281
28955;0;1059;0;489;5412;98;35875;4;277;186;34893;2955;237
19802;0;1059;0;489;6182;424;39454;4;277;186;39363;947;25
456;0;1389;1;55;5888;56;31121;5;276;164;3928;1351;233
7013;0;1389;0;55;6642;851;34211;5;276;164;39278;969;287
11069;0;1389;1;55;5951;938;28893;5;276;164;3969;1792;215
11425;0;1389;1;55;6373;924;33633;5;276;164;39374;105;23
35809;0;62;1;507;6951;885;28617;8;307;174;3917;971;267
40771;0;62;1;507;6164;913;3048;8;307;174;39524;2146;217
62356;0;62;1;507;6879;777;32721;8;307;174;39039;993;275
6147;0;62;0;507;6618;808;32721;8;307;174;3969;76;301
31533;0;62;0;504;8266;783;28944;8;307;174;38505;414;448
52693;0;62;0;504;8725;83;28944;8;307;174;382;463;50
38214;0;62;0;504;804;865;32157;8;307;174;38738;313;376
41238;0;62;0;504;7163;799;32157;8;307;174;37208;636;316
29819;0;62;0;504;7686;17;33751;8;307;174;37751;392;467
44178;0;62;0;504;6552;214;33751;8;307;174;38034;376;315
537;0;62;0;504;5981;681;36715;8;307;174;37835;1165;243
46296;0;62;0;504;7412;769;36715;8;307;174;37614;525;317
57529;0;62;0;507;8337;733;38384;8;307;174;38591;247;417
33147;0;62;0;507;8247;704;36519;8;307;174;37895;395;483
44791;0;62;1;507;6726;665;36519;8;307;174;3602;805;29
33045;0;62;0;507;6086;615;36519;8;307;174;37675;1088;24
52058;0;62;1;507;6631;765;4148;8;307;174;38845;954;251
51183;0;62;0;507;7358;716;4148;8;307;174;39007;473;315
8244;30;493;0;428;6481;185;61899;6;300;166;37941;636;237
9252;30;493;0;428;6606;422;61899;6;300;166;38378;737;233
11329;30;493;0;428;6897;543;63361;6;300;166;39125;1138;22
10612;30;493;0;428;6095;651;63361;6;300;166;39462;124;201
1029;30;493;0;428;6358;529;70355;6;300;166;37275;1122;222
12757;30;493;0;428;6393;78;70355;6;300;166;37471;519;237
20608;22;586;0;431;5593;765;79549;7;330;191;37249;125;176
19133;22;586;0;431;5605;702;79549;7;330;191;38913;1846;185
33983;22;586;0;431;6108;349;80555;7;330;191;39018;916;243
19657;22;586;0;431;6226;792;80555;7;330;191;37614;1015;205
16439;22;586;0;431;6433;491;78265;7;330;191;37471;952;245
19073;22;586;0;431;6718;175;78265;7;330;191;39374;656;262
1403;22;586;0;431;6487;13;73967;7;330;191;39628;59;244
21409;22;586;0;431;6438;89;73967;7;330;191;37707;359;248
8221;22;586;0;431;6957;68;89067;7;330;191;38609;353;296
